Date,Dividend
2014-10-01 00:00:00-04:00,0.289
2014-11-03 00:00:00-05:00,0.29
2014-12-01 00:00:00-05:00,0.277
2014-12-24 00:00:00-05:00,0.261
2015-02-02 00:00:00-05:00,0.279
2015-03-02 00:00:00-05:00,0.252
2015-04-01 00:00:00-04:00,0.273
2015-05-01 00:00:00-04:00,0.258
2015-06-01 00:00:00-04:00,0.264
2015-07-01 00:00:00-04:00,0.258
2015-08-03 00:00:00-04:00,0.267
2015-09-01 00:00:00-04:00,0.263
2015-10-01 00:00:00-04:00,0.256
2015-11-02 00:00:00-05:00,0.267
2015-12-01 00:00:00-05:00,0.257
2015-12-24 00:00:00-05:00,0.254
2016-02-01 00:00:00-05:00,0.241
2016-03-01 00:00:00-05:00,0.248
2016-04-01 00:00:00-04:00,0.27
2016-05-02 00:00:00-04:00,0.26
2016-06-01 00:00:00-04:00,0.267
2016-07-01 00:00:00-04:00,0.255
2016-08-01 00:00:00-04:00,0.258
2016-09-01 00:00:00-04:00,0.254
2016-10-03 00:00:00-04:00,0.247
2016-11-01 00:00:00-04:00,0.25
2016-12-01 00:00:00-05:00,0.243
2016-12-22 00:00:00-05:00,0.309
2017-02-01 00:00:00-05:00,0.259
2017-03-01 00:00:00-05:00,0.234
2017-04-03 00:00:00-04:00,0.255
2017-05-01 00:00:00-04:00,0.255
2017-06-01 00:00:00-04:00,0.263
2017-07-03 00:00:00-04:00,0.258
2017-08-01 00:00:00-04:00,0.269
2017-09-01 00:00:00-04:00,0.263
2017-10-02 00:00:00-04:00,0.252
2017-11-01 00:00:00-04:00,0.263
2017-12-01 00:00:00-05:00,0.255
2017-12-21 00:00:00-05:00,0.262
2018-02-01 00:00:00-05:00,0.255
2018-03-01 00:00:00-05:00,0.239
2018-04-02 00:00:00-04:00,0.26
2018-05-01 00:00:00-04:00,0.262
2018-06-01 00:00:00-04:00,0.281
2018-07-02 00:00:00-04:00,0.275
2018-08-01 00:00:00-04:00,0.267
2018-09-04 00:00:00-04:00,0.272
2018-10-01 00:00:00-04:00,0.261
2018-11-01 00:00:00-04:00,0.275
2018-12-03 00:00:00-05:00,0.267
2018-12-18 00:00:00-05:00,0.282
2019-02-01 00:00:00-05:00,0.275
2019-03-01 00:00:00-05:00,0.253
2019-04-01 00:00:00-04:00,0.278
2019-05-01 00:00:00-04:00,0.259
2019-06-03 00:00:00-04:00,0.27
2019-07-01 00:00:00-04:00,0.26
2019-08-01 00:00:00-04:00,0.264
2019-09-03 00:00:00-04:00,0.26
2019-10-01 00:00:00-04:00,0.25
2019-11-01 00:00:00-04:00,0.246
2019-12-02 00:00:00-05:00,0.241
2019-12-19 00:00:00-05:00,0.218
2020-02-03 00:00:00-05:00,0.242
2020-03-02 00:00:00-05:00,0.229
2020-04-01 00:00:00-04:00,0.238
2020-05-01 00:00:00-04:00,0.216
2020-06-01 00:00:00-04:00,0.21
2020-07-01 00:00:00-04:00,0.192
2020-08-03 00:00:00-04:00,0.19
2020-09-01 00:00:00-04:00,0.183
2020-10-01 00:00:00-04:00,0.169
2020-11-02 00:00:00-05:00,0.169
2020-12-01 00:00:00-05:00,0.163
2020-12-17 00:00:00-05:00,0.164
2021-02-01 00:00:00-05:00,0.176
2021-03-01 00:00:00-05:00,0.172
2021-04-01 00:00:00-04:00,0.185
2021-05-03 00:00:00-04:00,0.203
2021-06-01 00:00:00-04:00,0.199
2021-07-01 00:00:00-04:00,0.188
2021-08-02 00:00:00-04:00,0.182
2021-09-01 00:00:00-04:00,0.189
2021-10-01 00:00:00-04:00,0.183
2021-11-01 00:00:00-04:00,0.188
2021-12-01 00:00:00-05:00,0.184
2021-12-16 00:00:00-05:00,0.168
2022-02-01 00:00:00-05:00,0.198
2022-03-01 00:00:00-05:00,0.185
2022-04-01 00:00:00-04:00,0.202
2022-05-02 00:00:00-04:00,0.203
2022-06-01 00:00:00-04:00,0.207
2022-07-01 00:00:00-04:00,0.227
2022-08-01 00:00:00-04:00,0.213
2022-09-01 00:00:00-04:00,0.236
2022-10-03 00:00:00-04:00,0.244
2022-11-01 00:00:00-04:00,0.236
2022-12-01 00:00:00-05:00,0.244
2022-12-15 00:00:00-05:00,0.261
2023-02-01 00:00:00-05:00,0.275
2023-03-01 00:00:00-05:00,0.25
2023-04-03 00:00:00-04:00,0.269
2023-05-01 00:00:00-04:00,0.268
2023-06-01 00:00:00-04:00,0.273
2023-07-03 00:00:00-04:00,0.278
2023-08-01 00:00:00-04:00,0.275
2023-09-01 00:00:00-04:00,0.289
2023-10-02 00:00:00-04:00,0.28
2023-11-01 00:00:00-04:00,0.286
2023-12-01 00:00:00-05:00,0.289
2023-12-14 00:00:00-05:00,0.311
2024-02-01 00:00:00-05:00,0.31
2024-03-01 00:00:00-05:00,0.295
2024-04-01 00:00:00-04:00,0.312
2024-05-01 00:00:00-04:00,0.308
2024-06-03 00:00:00-04:00,0.308
2024-07-01 00:00:00-04:00,0.291
2024-08-01 00:00:00-04:00,0.315
2024-09-03 00:00:00-04:00,0.313
2024-10-01 00:00:00-04:00,0.316
2024-11-01 00:00:00-04:00,0.311
2024-12-02 00:00:00-05:00,0.325
2024-12-18 00:00:00-05:00,0.351
2025-02-03 00:00:00-05:00,0.312
2025-03-03 00:00:00-05:00,0.29
2025-04-01 00:00:00-04:00,0.326
2025-05-01 00:00:00-04:00,0.328
